Aryabhatiya,R = ,3438,
θ,θ (deg),Sinθ,ΔSinθ
0°,0,0,0
3°45’,3.75,225,225
7°30’,7.5,449,224
11°15’,11.25,671,222
15°,15,890,219
18°45’,18.75,1105,215
22°30’,22.5,1315,210
26°15’,26.25,1520,205
30°,30,1719,199
33°45’,33.75,1910,191
37°30’,37.5,2093,183
41°15’,41.25,2267,174
45°,45,2431,164
48°45’,48.75,2585,154
52°30’,52.5,2728,143
56°15’,56.25,2859,131
60°,60,2978,119
63°45’,63.75,3084,106
67°30’,67.5,3177,93
71°15’,71.25,3256,79
75°,75,3321,65
78°45’,78.75,3372,51
82°30’,82.5,3409,37
86°15’,86.25,3431,22
90°,90,3438,7
